,0
1,분노의 질주: 더 얼티메이트
2,크루엘라
3,파이프라인
4,스파이럴
5,극장판 귀멸의 칼날: 무한열차편
6,도라에몽: 스탠바이미 2
7,아미 오브 더 데드
8,보이저스
9,더 스파이
10,혼자 사는 사람들
11,비와 당신의 이야기
12,크루즈 패밀리: 뉴 에이지
13,노매드랜드
14,라이더스 오브 저스티스
15,미나리
16,내일의 기억
17,애플
18,아들의 이름으로
19,500일의 썸머
20,컨저링 3: 악마가 시켰다
21,굴뚝마을의 푸펠
22,내가 죽기를 바라는 자들
23,이터널스
24,인트로덕션
25,캐시트럭
26,쇼크 웨이브 2
27,아이들은 즐겁다
28,명탐정 코난: 비색의 탄환
29,범털2 : 쩐의 전쟁
30,베놈 2: 렛 데어 비 카니지
31,극장판 콩순이: 장난감나라 대모험
32,브리짓 존스의 일기
33,써니
34,자산어보
35,콰이어트 플레이스 2
36,내겐 너무 소중한 너
37,프로페서 앤 매드맨
38,발신제한
39,2067
40,인셉션
41,잭 스나이더의 저스티스 리그
42,썰
43,분노의 질주: 더 세븐
44,노바디 
45,범죄도시2
46,낙원의 밤
47,킬러의 보디가드 2
48,쿠사마 야요이: 무한의 세계
49,그린 북
50,어른들은 몰라요
